Raw.Column.Name,Procesed Column Name,Column Description
Timestamp,timestamp,Timestamp for when the data extraction Google Form was submitted
Q1.1,who_extracted,Initials of the person who extracted the data
Q1.2,title,Title of the paper
Q1.3,first_author,Surname of the first author
Q1.4,pub_year,Publication year
Q1.5,journal,Publication journal
Q1.6,meta_analysis_self_described,"Answer to the question ""Is paper self-describing as containing a meta-analysis (or meta-regression) or actually using meta-analysis/regression approach?"". Categorical variable with the options: ""yes""; ""unclear/other (add comment)""; and ""no (add details to comment)"""
Comment.for.Q1.6,meta_analysis_self_described_notes,"Comments or notes for the queston ""Is paper self-describing as containing a meta-analysis (or meta-regression) or actually using meta-analysis/regression approach?"""
Q1.7,comparative_physiology_main_focus,"Answer to the question ""Is the study's main focus on comparative physiology?"". Categorical variable with the options: ""unclear/other (add comment)"";                                                                                      
""no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)""; and ""yes (i.e., focused only on physiological traits very clearly)"""
Comment.for.Q1.7,comparative_physiology_main_focus_notes,"Comments or notes for the queston ""Is the study's main focus on comparative physiology?"""
Q1.8,DOI,Digital Object Identifier for the paper
Q2.1_EffectUsed,effect_size_type,"Select-all-that-apply answer to the question ""What is the type of effect sizes used?"", with the options: ""SMD (d, g, etc.)""; ""correlation (r)""; ""Response Ratio (lnRR)""; ""Odds Ratio (OR)""; ""p-value""; ""coefficient of variation ratio (lnCVR)""; ""variance ratio (VR)""; ""unclear/other (add comment) - Describe effect size"""
Please.also.provide.a.quick.note.about.what.the.effect.size.being.used.is..even.if.not..other...Comment.for.Q2.1,effect_size_type_notes,"Comments or notes for the question ""What is the type of effect sizes used?"""
Q2.2_ContVariable,cont_moderator_variable,"Answer to the question ""Does the study investigate any continuous environmental or methodological factors as moderators? (i.e., is it dosage or temperature dependent)"". Categorical variable with the options: ""yes"", ""no"", or ""unclear"". Additional information in the question description was: ""For example: A study might have manipulated pH , but the pH applied across the studies vary (one study compared pH 7 to pH 8, whereas another used pH2 to pH8). This should be fairly evident when the effect size is being describe that they use. In this case, we have a situation that, if you use say lnRR, each of these lnRR’s would be based on a different comparison (pH7 to pH8 and pH 2 to pH8). Same problems occur with temperature and dosage. If, say the moderator is categorical with no real meaning on a continuous scale (i.e., high quality vs low quality) then this wouldn’t count as though they controlled or it. Unless, “quality” can be placed on a continuous scale."""
Comment.for.Q2.2,cont_moderator_variable_notes,"Comments or notes for the queston ""Does the study investigate any continuous environmental or methodological factors as moderators? (i.e., is it dosage or temperature dependent)"", including a description of what environmental or methodological factor(s) are controlled, if the answer were yes"
Q2.2.extra_Contvariable_tested,cont_moderator_variable_modelled,"When ""yes"" was the answer to the question ""Does the study investigate any continuous environmental or methodological factors as moderators? (i.e., is it dosage or temperature dependent)"", this question records whether the source of variation was accounted for. Binary categorical variable: ""yes"" = they modeled this continuous variation, and no = ""they didn't account for it""."
Q2.3_StatModel,stat_model_type,"Select-all-that-apply answer to the question ""Types of statistical models used, as mentioned in the paper or inferred from the descriptions (vote counting, random/fixed MA, MR, hierarchical, etc.)"", with the options: ""vote counting""; ""fixed-effect meata-analysis""; ""random-effects meta-analysis (i.e., intercept only model, but has a study random effect ONLY)""; ""multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level)""; ""meta-regression models (i.e., a multilevel or random effect model with moderators)""; ""linear regression (including linear mixed-effects model)""; ""weighted regression including mixed effects models""; ""unclear/other (add comment to describe)""; ""N/A (no models)""."
Comment.for.Q2.3,stat_model_type_notes,"Comments or notes for the question ""Types of statistical models used, as mentioned in the paper or inferred from the descriptions (vote counting, random/fixed MA, MR, hierarchical, etc.)"""
Q2.4_WeightedModel,meta_analysis_weighted,"Select-all-that-apply answer to the question ""Is this a formal meta-analysis (weighted model)?"", with the options: ""weighted model""; ""unweighted model""; ""unclear/other model (add comment)"". Additional information in the question description: ""Answer based on the description/terminology used in the main text (they need to state that they ""weighted estimates"" or indicate if the model was unweighted, otherwise select ""unclear/other""). One option, if the code is provided, is to also look at the model fit to the data to judge if a weighted model was used. If justification provided for not using weights, record this in the comment below.""."
Comment.for.Q2.4,meta_analysis_weighted_notes,"Comments or notes for the question ""Is this a formal meta-analysis (weighted model)?"", with the options: ""weighted model""; ""unweighted model""; ""unclear/other model (add comment)"""
Q2.5_NonInd,nonindependence_mentioned,"Answer to the question ""Does the paper mention (or model) any issues related to data non-independence arising from multiple effect sizes obtained in single studies and/or from phylogenetic relatedness?"". Categorical variable with the options: ""paper explicitly models non-independence (at least some of it)""; ""paper deals with non-independence in other than modeling way (e.g., aggregation, sampling)""; ""paper only mentions non-independence (e.g., in limitations)""; ""unclear/other/not mentioned""; ""N/A (they claim all data are independent)""."
Comment.for.Q2.5,nonindependence_mentioned_notes,"Comments or notes for the queston ""Does the paper mention (or model) any issues related to data non-independence arising from multiple effect sizes obtained in single studies and/or from phylogenetic relatedness?"""
Q2.6_PbBias,pub_bias_type,"Select-all-that-apply answer to the question ""Does the paper test/account for publication bias ?"", with the options: ""no""; ""yes, it uses graphical tests (e.g., funnel plot)""; ""yes, it uses regression test (e.g. Egger's regression)""; ""yes, it uses trim-and-fill test""; ""yes, it uses failsafe number""; ""yes, time-lag bias""; ""unclear/other"". Additional information in the question description: ""Answer based on the description/terminology used in the paper. Add in the comments if assessment of impact was also conducted."""
Comment.for.Q2.6,test_pub_bias_notes,"Comments or notes for the queston ""Does the paper test/account for publication bias ?"""
Q2.6.extra_PbBias_tested,pub_bias_test,"Categorical binary response for whether any publication bias test was present: ""yes"" or ""no""."
Q2.7_SensAnal,sensitivity_analyses,"Answer to the question ""Does the paper includes sensitivity analyses?"". Categorical variable with the options: ""yes""; ""no""; ""unclear/other""."
Comment.for.Q2.7,sensitivity_analyses_notes,"Comments or notes for the queston ""Does the paper includes sensitivity analyses?""."
Q2.8_Heterogenity,heterogeneity_reported,"Answer to the question ""Does the paper report heterogeneity values?"". Categorical variable with the options: ""yes""; ""no""; ""unclear/other""; ""N/A (e.g. they conducted unweighted meta-analysis)""."
Comment.for.Q2.8,heterogeneity_reported_notes,"Comments or notes for the queston ""Does the paper report heterogeneity values?""."
Q3.1.Does.the.paper.report.full.list.of.included.studies.,included_studies_list,"Answer to the question ""Does the paper report full list of included studies?"". Categorical variable with the options: ""yes""; ""no""; ""unclear/other (add comment)"". Additional information in the question description: ""Could be reported in the main text or SI. Note in the comment where. If incomplete list, select ""no""."""
Comment.for.Q3.1,included_studies_list_notes,"Comments or notes for the queston ""Does the paper report full list of included studies?""."
Q3.2.What.software.was.used.for.analyses.,software_analyses,"Select-all-that-apply answer to the question ""What software was used for analyses?"", with the options: ""R metafor""; ""R MCMCglmm""; ""R meta""; ""Other R package""; ""MetaWin""; ""OpenMEE""; ""unclear/other (add comment)"". Additional information in the question description: ""Answer based on the description/terminology used in the main text.""."
Comment.for.Q3.2,software_analyses_notes,"Comments or notes for the question Select-all-that-apply answer to the question ""What software was used for analyses?""."
