date,search_nr,search string,N_hits,comment,comment2
"Nov 5, 2021",1,"( TITLE-ABS-KEY ( meta-analy*  OR  ( comparat*  W/3  analy* ) )  AND  SRCTITLE ( ""Functional Ecology""  OR  ""Journal of Experimental Biology""  OR  ""Integrative and Comparative Biology""  OR  ""Physiological and Biochemical Zoology""  OR  ""Conservation Physiology""  OR  ""Nature Ecology and Evolution""  OR  ""Ecology Letters""  OR  ""Global Change Biology""  OR  ""Journal of Arid Environments""  OR  ""Oecologia""  OR  ""Oikos"" ) )",1024,too broad,
"Nov 5, 2021",2,"( TITLE-ABS-KEY ( meta-analy*  OR  ( phylog*  W/3  comparat* ) )  AND  SRCTITLE ( ""Functional Ecology""  OR  ""Journal of Experimental Biology""  OR  ""Integrative and Comparative Biology""  OR  ""Physiological and Biochemical Zoology""  OR  ""Conservation Physiology""  OR  ""Nature Ecology and Evolution""  OR  ""Ecology Letters""  OR  ""Global Change Biology""  OR  ""Journal of Arid Environments""  OR  ""Oecologia""  OR  ""Oikos"" ) )",838,trying additonal keywords,
"Nov 5, 2021",3,"( TITLE-ABS-KEY ( meta-analy*  OR  ( phylog*  W/3  comparat* ) )  AND  SRCTITLE ( ""Functional Ecology""  OR  ""Journal of Experimental Biology""  OR  ""Integrative and Comparative Biology""  OR  ""Physiological and Biochemical Zoology""  OR  ""Conservation Physiology""  OR  ""Nature Ecology and Evolution""  OR  ""Ecology Letters""  OR  ""Global Change Biology""  OR  ""Journal of Arid Environments""  OR  ""Oecologia""  OR  ""Oikos"" ) )  AND  ( LIMIT-TO ( PUBYEAR ,  2020 ) )",83,trying additonal keywords,
"Nov 5, 2021",4,"( TITLE-ABS-KEY ( meta-analy*  OR  ( phylog*  W/3  comparat* ) )  AND  SRCTITLE ( ""Functional Ecology""  OR  ""Journal of Experimental Biology""  OR  ""Integrative and Comparative Biology""  OR  ""Physiological and Biochemical Zoology""  OR  ""Conservation Physiology""  OR  ""Nature Ecology and Evolution""  OR  ""Ecology Letters""  OR  ""Global Change Biology""  OR  ""Journal of Arid Environments""  OR  ""Oecologia""  OR  ""Oikos"" )  AND  TITLE-ABS-KEY ( physiol*  OR  metabol*  OR  thermal* ) )",311,trying additonal keywords,
"Nov 5, 2021",5,"( TITLE-ABS-KEY ( meta-analy*  OR  ( phylog*  W/3  comparat* ) )  AND  SRCTITLE ( ""Functional Ecology""  OR  ""Journal of Experimental Biology""  OR  ""Integrative and Comparative Biology""  OR  ""Physiological and Biochemical Zoology""  OR  ""Conservation Physiology""  OR  ""Nature Ecology and Evolution""  OR  ""Ecology Letters""  OR  ""Global Change Biology""  OR  ""Journal of Arid Environments""  OR  ""Oecologia""  OR  ""Oikos"" )  AND  KEY ( ""comparative study""  AND  ""physiology"" ) )",24,too strict keywordsfor comparative physiology,
"Nov 5, 2021",6,"( SRCTITLE ( ""Functional Ecology""  OR  ""Journal of Experimental Biology""  OR  ""Integrative and Comparative Biology""  OR  ""Physiological and Biochemical Zoology""  OR  ""Conservation Physiology""  OR  ""Nature Ecology and Evolution""  OR  ""Ecology Letters""  OR  ""Global Change Biology""  OR  ""Journal of Arid Environments""  OR  ""Oecologia""  OR  ""Oikos"" )  AND  KEY ( ""comparative study""  AND  ""physiology"" ) )",2550,try only meta-nalaysis,
"Nov 5, 2021",7,"( TITLE-ABS-KEY ( meta.analy*  OR  meta.regr* )  AND  SRCTITLE ( ""Functional Ecology""  OR  ""Journal of Experimental Biology""  OR  ""Integrative and Comparative Biology""  OR  ""Physiological and Biochemical Zoology""  OR  ""Conservation Physiology""  OR  ""Nature Ecology and Evolution""  OR  ""Ecology Letters""  OR  ""Global Change Biology""  OR  ""Journal of Arid Environments""  OR  ""Oecologia""  OR  ""Oikos"" ) )",709,substitute SRCTITLE with SRCID or ISSN,
"Nov 5, 2021",8,"( TITLE-ABS-KEY ( meta.analy*  OR  meta.regr* )  AND  ISSN(""02698463"" OR ""00220949"" OR ""15407063"" OR ""15222152"" OR ""20511434"" OR ""2397334X"" OR ""1461023X"" OR ""13541013"" OR ""01401963"" OR ""00298549"" OR ""00301299"" ) )",702,excluded extra journals,
"Nov 5, 2021",9,"( TITLE-ABS-KEY ( meta.analy* OR meta.regr* ) AND   ISSN ( ""02698463""   OR ""00220949"" OR   ""15407063"" OR ""15222152"" OR   ""20511434"" OR ""2397334X"" OR   ""1461023X"" OR ""13541013"" OR   ""01401963"" OR ""00298549"" OR   ""00301299"" ) )   AND ( LIMIT-TO ( DOCTYPE , ""ar"" ) OR   LIMIT-TO ( DOCTYPE ,   ""re"" ) )",642,limited to articles and reviews,"60 in 2020, 47 in 2019"
"Nov 5, 2021",10,"( TITLE-ABS-KEY ( meta.analy* OR meta.regr* ) AND   ISSN ( ""02698463""   OR ""00220949"" OR   ""15407063"" OR ""15222152"" OR   ""20511434"" OR ""2397334X"" OR   ""1461023X"" OR ""13541013"" OR   ""01401963"" OR ""00298549"" OR   ""00301299"" ) )   AND ( LIMIT-TO ( DOCTYPE , ""ar"" ) OR   LIMIT-TO ( DOCTYPE ,   ""re"" ) ) AND ( LIMIT-TO ( PUBYEAR , 2020 )   OR LIMIT-TO ( PUBYEAR , 2019 ) )",107,restricted to 2019 and 2020,pilot screened by DN: only 12% included (animal physiology MA)
